company,id,number_of_board_memebers,average_age_board,total_active_assignments,total_active_assignments_star,total_prev_assignments,proportion_historic_defaults
Boberg & Praesto Bygg AB,5568862220,2.0,52.0,2.0,1,0.0,0.0
Bobergs Industribyggen AB,5566263637,3.0,62.0,2.0,1,2.0,0.0
BoBra Norden AB,5567576417,2.0,46.0,6.0,5,11.0,0.0
Bodeborn Gräv Aktiebolag,5561633941,2.0,52.0,108.0,107,110.0,0.028037383177570093
Boetten Asset AB,5566518683,3.0,56.0,3.0,2,9.0,0.0
Bofab Värmland AB,5566017280,3.0,63.0,2.0,1,2.0,0.0
Bogab förvaltning AB,5566475744,2.0,46.0,2.0,1,0.0,0.0
Boli Bygg AB,5568190259,4.0,46.0,6.0,2,4.0,0.0
Bolinder & Partners Aktiebolag,5562656214,3.0,49.0,4.0,3,8.0,0.0
Bollmora Entreprenad AB,5590214259,2.0,50.0,3.0,2,5.0,0.0
Boman El & Larmtjänst i Norrköping AB,5567405948,4.0,54.0,5.0,4,9.0,0.0
Bonava Sverige AB,5567264121,4.0,55.0,43.0,42,74.0,0.0
BONOR Bygg AB,5590126396,3.0,41.0,5.0,4,1.0,0.0
Bopec Väst AB,5591150197,7.0,48.0,2.0,1,1.0,0.0
BORDEX AB,5561635060,3.0,60.0,5.0,4,3.0,0.0
Borensbergs Rör AB,5565605705,2.0,53.0,3.0,2,2.0,0.0
Bornius & Edströms Kakel Aktiebolag,5567529705,2.0,32.0,8.0,7,5.0,0.0
Borås Elektrokyl-Energiteknik AB,5567527477,5.0,54.0,3.0,2,14.0,0.0
Borås MarkEntreprenad Aktiebolag,5563581650,3.0,51.0,2.0,1,0.0,0.0
Bosses Bygg & Betong i Gävle AB,5566470018,2.0,56.0,2.0,1,0.0,0.0
Botkyrka Entreprenad AB,5565162756,4.0,62.0,5.0,4,0.0,0.0
Botkyrka VVS & Fastighetsservice AB,5564005808,3.0,43.0,2.0,1,0.0,0.0
Botnia Ställning Aktiebolag,5566262589,2.0,55.0,2.0,1,6.0,0.0
Bottnia Berg AB,5569572711,2.0,47.0,2.0,1,1.0,0.0
BP Rör i Borgholm Aktiebolag,5563577534,3.0,68.0,5.0,4,1.0,0.0
BQ74 Total Commitment AB,5569206443,2.0,43.0,4.0,3,3.0,0.0
Br Isakssons Markteknik AB,5569128126,4.0,39.0,3.0,2,1.0,0.0
Bra Boende Centralt Konsult i GBG AB,5565005955,3.0,48.0,37.0,36,119.0,0.0
Bra Golv i Norrbotten Aktiebolag,5564667987,2.0,55.0,2.0,1,6.0,0.0
Bra Tak Entreprenad Skåne AB,5568899362,2.0,43.0,8.0,6,4.0,0.0
CJB MoVA AB,5566733381,2.0,50.0,5.0,4,3.0,0.0
Brame Bemanning AB,5569495947,2.0,38.0,5.0,4,9.0,0.0
Brand El & Säkerhetsteknik i Blekinge AB,5566922976,3.0,47.0,3.0,2,3.0,0.0
Brantås Bygg AB,5567170427,4.0,48.0,2.0,1,2.0,0.0
Bredbergs Elbyrå Aktiebolag,5565020301,2.0,52.0,3.0,2,10.0,0.0
Brinkens Plåtslageri Aktiebolag,5561422121,2.0,35.0,2.0,1,1.0,0.0
Brinova Skooghs AB,5561913129,3.0,53.0,113.0,112,296.0,0.0
BRITEK AB,5565685319,4.0,55.0,2.0,1,2.0,0.0
Bro Underhåll & Service BUS AB,5568177504,3.0,54.0,4.0,3,2.0,0.0
Brolack Aktiebolag,5563751220,2.0,64.0,3.0,2,0.0,0.0
Brolins Rör AB,5565335881,,,2.0,2,6.0,0.0
Bromma Bygg & Förvaltning AB,5567821599,2.0,41.0,2.0,1,3.0,0.0
Bromma Byggproduktion AB,5590729157,2.0,42.0,2.0,1,1.0,0.0
Bromma Högtryck Aktiebolag,5563114262,3.0,49.0,4.0,3,2.0,0.0
Bromma Måleri Aktiebolag,5562545375,3.0,47.0,3.0,2,5.0,0.0
Bromölla Fritidscenter AB,5568624075,8.0,53.0,4.0,3,14.0,0.0
Brostigen Förvaltnings AB,5564171352,4.0,57.0,3.0,2,5.0,0.0
BRS International AB,5591110290,5.0,42.0,19.0,15,15.0,0.0
Brunna VVS AB,5569478885,3.0,41.0,2.0,1,1.0,0.0
Brunnsborrarna i Östersund Aktiebolag,5565863098,3.0,54.0,2.0,1,5.0,0.0
Brunskogs Elektriska Edane Rör AB,5563338507,2.0,54.0,5.0,4,3.0,0.0
Bryngels AB,5567003339,3.0,49.0,7.0,6,7.0,0.0
Bränninge Entreprenad AB,5568455827,3.0,55.0,7.0,6,5.0,0.0
Bröderman Holding AB,5567322465,2.0,60.0,3.0,2,3.0,0.0
Bröderna Bengtssons Rör Aktiebolag,5562238526,2.0,52.0,2.0,1,0.0,0.0
Syds Fastigheter i Jönköping AB,5561195008,4.0,46.0,5.0,4,5.0,0.0
Bröderna Norström Byggnads Aktiebolag,5561324509,2.0,54.0,2.0,1,0.0,0.0
Bröderna Perssons Bleck- & Plåtslageri Aktiebolag,5561229633,2.0,60.0,5.0,4,3.0,0.0
Bröderna Thunströms Måleri Aktiebolag,5563778074,4.0,62.0,4.0,3,6.0,0.0
Bröderna Viklunds Måleri o Mattor Aktiebolag,5562864933,2.0,30.0,2.0,1,0.0,0.0
Bröderna Westin Specialbeläggningar AB,5569671513,2.0,52.0,10.0,9,9.0,0.0
BS Agro Aktiebolag,5566070982,4.0,51.0,2.0,1,0.0,0.0
BTF mark & trädgård AB,5564618253,3.0,52.0,4.0,3,6.0,0.0
Extern Resurs i Falun AB,5562333954,3.0,63.0,12.0,11,8.0,0.0
Bureca Proffsen AB,5568817117,2.0,56.0,6.0,5,2.0,0.0
Butiksetablering Öst AB,5590432984,3.0,49.0,5.0,4,3.0,0.0
Butiksteknik i Väst AB,5567881148,3.0,52.0,3.0,2,12.0,0.0
BVK Montage AB,5569794786,3.0,49.0,6.0,5,3.0,0.0
Byggbröderna i Falkenberg AB,5566842919,2.0,57.0,7.0,6,25.0,0.0
Bygg Craft Baudou Carlsson AB,5568650724,4.0,45.0,4.0,2,0.0,0.0
Bygg en 3 Prenad i Genarp AB,5566669007,2.0,58.0,3.0,2,2.0,0.0
Bygg Inredning Enskede AB,5567865240,2.0,37.0,2.0,1,5.0,0.0
Bygg Johan i Eksjö AB,5567786040,2.0,52.0,3.0,2,1.0,0.0
Bygg Klokt Stockholm AB,5569318628,2.0,58.0,2.0,1,3.0,0.0
Bygg och Entreprenadkedjan i Halmstad AB,5566544119,2.0,60.0,4.0,2,0.0,0.0
Bygg och inredningsgruppen i Stockholm AB,5568477102,2.0,44.0,5.0,4,4.0,0.0
Bygg och Markelit i Sörmland AB,5569649485,4.0,44.0,8.0,7,3.0,0.0
BYGG TEKNISKA GRUPPEN TOMAS PIVORAS AB,5567830657,2.0,55.0,5.0,4,1.0,0.0
Bygg & Fasad; Bengt Glaas Aktiebolag,5562252428,4.0,50.0,7.0,6,11.0,0.0
BYGG & FASADGRUPPEN I ÖSTERGÖTLAND AB,5569338923,2.0,40.0,2.0,1,2.0,0.0
Bygg & Hantverk i Linköping AB,5569574352,2.0,70.0,4.0,3,3.0,0.0
Bygg & Interiör i Katrineholm GolvEntreprenad AB,5566997200,4.0,52.0,3.0,2,2.0,0.0
Bygg & Markplanering i Ljusdal Aktiebolag,5562809086,2.0,50.0,2.0,1,2.0,0.0
Bygg & Måleritjänst i Kiruna AB,5568295306,3.0,51.0,3.0,2,0.0,0.0
Bygg & Takkungen AB,5569245771,2.0,46.0,4.0,3,3.0,0.0
JenCas Fastigheter AB,5562409598,2.0,28.0,2.0,1,3.0,0.0
BYGGA GWG AB,5564010659,4.0,42.0,9.0,8,7.0,0.0
Byggbiten i Norrland AB,5568754260,3.0,44.0,4.0,3,11.0,0.0
Byggbolaget i Bergslagen AB,5568586365,4.0,45.0,2.0,1,3.0,0.0
Byggbolaget Peter & Morgan AB,5565215372,2.0,50.0,2.0,1,4.0,0.0
Byggbolaget södermalm AB,5568483621,1.0,34.0,3.0,2,23.0,0.5
Byggcenter i Katrineholm AB,5567489074,3.0,56.0,5.0,4,2.0,0.0
Byggcity Byggconsult AB,5568233430,4.0,50.0,6.0,5,25.0,0.0
Byggdax MJJ AB,5565539524,2.0,54.0,6.0,5,0.0,0.0
Byggentreprenad i Mönsterås AB,5568231020,4.0,52.0,2.0,1,1.0,0.0
Byggentreprenad Resurs Sverige AB,5590361696,2.0,39.0,9.0,8,6.0,0.0
Byggex Construction AB,5569692352,3.0,42.0,3.0,2,1.0,0.0
Bygghyttan i Karlsborg Aktiebolag,5564511227,4.0,57.0,2.0,1,1.0,0.0
Byggjobbarna i Götaland AB,5568177793,3.0,51.0,2.0,1,1.0,0.0
Bygglaget Väst AB,5590614243,,,2.0,2,5.0,0.0
ByggLigan AB,5567594774,2.0,52.0,2.0,1,10.0,0.0
Byggmetropol Göteborg AB,5590993860,2.0,38.0,11.0,10,7.0,0.0
Byggmästare Eric Gunnarsson Aktiebolag,5564764529,5.0,70.0,2.0,1,1.0,0.0
Byggmästare Sjöö AB,5568028319,,,1.0,1,1.0,0.0
Byggnadsaktiebolaget A J Palmqvist,5569587826,3.0,61.0,2.0,1,1.0,0.0
Byggnads Aktiebolaget Algot Gustavsson,5563124394,2.0,51.0,3.0,2,2.0,0.0
Byggnads Aktiebolaget Andersson & Baggman,5561336313,2.0,59.0,7.0,6,8.0,0.0
Byggnadsaktiebolaget Apelman & Son,5560871401,2.0,51.0,5.0,4,5.0,0.0
Byggnads Aktiebolaget Jarledal & Svensson,5561785535,3.0,63.0,2.0,1,5.0,0.0
Byggnadsaktiebolaget Libellen,5563413300,2.0,57.0,3.0,2,7.0,0.0
Byggnadsaktiebolaget Per Wall,5566334420,,,1.0,1,2.0,0.0
Byggnadsaktiebolaget Bröderna Gustafsson,5562076868,4.0,42.0,7.0,6,10.0,0.0
Byggnadsaktiebolaget N.J. Andersson & Son,5560798299,3.0,65.0,13.0,12,13.0,0.0
Byggnadsautomation Gävleborg AB,5565276929,4.0,56.0,5.0,4,9.0,0.0
ByggnadsAutomation i Växjö AB,5568795644,2.0,52.0,2.0,1,0.0,0.0
Byggnadsfirma Karls & Svens Aktiebolag,5562015379,3.0,59.0,3.0,2,1.0,0.0
Byggnadsfirma Lundberg & Carlsson Aktiebolag,5561080796,4.0,39.0,2.0,1,8.0,0.0
Byggnadsfirma O Nilsson Aktiebolag,5564670379,4.0,38.0,10.0,9,8.0,0.0
Byggnadsfirma Oscar H. Nord Aktiebolag,5560728502,7.0,51.0,9.0,8,0.0,0.0
Byggnadsfirman Sven Alvarsson Aktiebolag,5563266088,5.0,40.0,4.0,3,0.0,0.0
Byggnadshyttan Kalk & Bygg AB,5564144029,7.0,60.0,2.0,1,0.0,0.0
Byggnadsplåt i Jönköping AB,5569990434,3.0,51.0,2.0,1,3.0,0.0
Byggnadsverk i Sverige AB,5569101933,3.0,33.0,2.0,1,3.0,0.0
Byggnationer Rönström A Andersson i Söderhamn AB,5590733423,4.0,46.0,4.0,3,4.0,0.0
Byggnor Närke AB,5568727555,4.0,44.0,13.0,12,14.0,0.0
Byggobjekt Syd AB,5566695598,2.0,47.0,3.0,2,1.0,0.0
Byggpojken AB,5565613519,2.0,44.0,5.0,4,3.0,0.0
Byggpolarna i Juoksengi Aktiebolag,5563234599,3.0,60.0,3.0,2,1.0,0.0
Byggprofil i Stockholm Aktiebolag,5561773093,2.0,54.0,3.0,2,3.0,0.0
Byggprojekt Olsson & Ström AB,5567273882,2.0,55.0,2.0,1,0.0,0.0
ByggRakt Stockholm AB,5590453501,2.0,31.0,5.0,4,3.0,0.0
Byggservice i Geijersholm Aktiebolag,5564801495,2.0,48.0,2.0,1,5.0,0.0
Byggsnabben Aktiebolag,5561352518,3.0,50.0,3.0,2,3.0,0.0
BYGGSOLID SVERIGE AB,5569377590,4.0,39.0,10.0,9,12.0,0.0
Byggstark AB,5561874180,3.0,39.0,3.0,2,1.0,0.0
BYGGSYSTEM STOCKHOLM AB,5590072566,2.0,55.0,2.0,1,3.0,0.0
Byggtech i Stenungsund Aktiebolag,5566342662,2.0,54.0,4.0,3,4.0,0.0
Byggtjänsten Jämtland AB,5568134281,2.0,42.0,3.0,2,3.0,0.0
Byggtrio i Borlänge AB,5566231725,3.0,61.0,2.0,1,6.0,0.0
Byggvän Aktiebolag,5562693712,3.0,54.0,2.0,1,0.0,0.0
Bygg- & Designgruppen BDG AB,5567059638,3.0,42.0,7.0,6,2.0,0.0
Bygg-Sven i Östervåla AB,5568457344,4.0,49.0,4.0,3,7.0,0.0
Bålsta Småstadsutveckling AB,5569640112,2.0,51.0,15.0,14,6.0,0.0
Freezing Fiber AB,5565960738,3.0,50.0,10.0,9,4.0,0.0
Bäckaskogs Plåt AB,5566105473,2.0,45.0,5.0,4,2.0,0.0
Böle Byggservice AB,5564705795,3.0,48.0,3.0,2,2.0,0.0
Börje Johansson Bygg i Fåglum Aktiebolag,5562307727,3.0,50.0,2.0,1,1.0,0.0
Böta Kvarn Construction AB,5590748611,,,1.0,1,5.0,0.0
B-O Kranar Aktiebolag,5562080530,3.0,63.0,4.0,3,7.0,0.0
B2 Entreprenad i Arboga AB,5567303770,2.0,50.0,7.0,6,7.0,0.0
C & R EL AB,5566318290,2.0,43.0,2.0,1,4.0,0.0
C. Johansson Byggtjänst Aktiebolag,5564847308,3.0,57.0,14.0,13,22.0,0.0
Cabletronic Aktiebolag,5563779627,2.0,56.0,5.0,4,16.0,0.0
Calleido Byggservice i Linköping AB,5564436433,7.0,58.0,2.0,1,3.0,0.0
Calmarsunds H.E. Undertak AB,5568712300,3.0,54.0,2.0,1,2.0,0.0
BSF i Brömsebro Försäljning AB,5590773361,2.0,24.0,3.0,2,4.0,0.0
Canova Elinstallationer AB,5590672332,3.0,45.0,4.0,3,2.0,0.0
Capella Bygg i Malmö AB,5564612900,2.0,57.0,2.0,1,4.0,0.0
Captive Larm AB,5567210538,2.0,46.0,11.0,10,73.0,0.0
Cardie Bygg AB,5590545470,2.0,60.0,4.0,3,2.0,0.0
Carls Elektriska AB,5565419610,4.0,60.0,4.0,3,6.0,0.0
Carlsson & Berger Aktiebolag,5566992870,3.0,55.0,2.0,1,4.0,0.0
Carl-Philips VVS Aktiebolag,5561982074,2.0,63.0,3.0,2,2.0,0.0
Carowa Bygg AB,5590772884,3.0,53.0,4.0,2,2.0,0.0
Carpenter i Mälardalen AB,5567079156,4.0,52.0,10.0,9,15.0,0.0
Categori Data AB,5565615118,4.0,47.0,3.0,2,3.0,0.0
CD Entreprenad AB,5564202082,,,5.0,5,11.0,0.0
Ce Sprinkler Aktiebolag,5561125617,3.0,39.0,2.0,1,2.0,0.0
Cederlöfs Plattsättning Aktiebolag,5563443448,2.0,41.0,2.0,1,5.0,0.0
Celander Halland Aktiebolag,5560774621,3.0,62.0,4.0,3,1.0,0.0
Celon Invest AB,5569500936,2.0,48.0,37.0,36,63.0,0.0
Centralradioservice Aktiebolag,5560924390,2.0,67.0,6.0,5,2.0,0.0
Centralsystem i Falkenberg AB,5566045554,4.0,49.0,2.0,1,4.0,0.0
CENVA AB,5569753436,3.0,53.0,4.0,3,3.0,0.0
CableQuick SYD AB,5569883068,3.0,41.0,13.0,6,18.0,0.0
Certior Entreprenad AB,5590521547,3.0,42.0,5.0,4,1.0,0.0
Ce-Ce Elservice Aktiebolag,5561570838,2.0,76.0,2.0,1,1.0,0.0
OPS Security AB,5565343828,2.0,48.0,6.0,5,5.0,0.0
CH Vent AB,5563805018,3.0,36.0,7.0,6,7.0,0.0
Chemiclean Systems Aktiebolag,5565395810,2.0,43.0,3.0,2,1.0,0.0
Ciceron Bygg AB,5590903042,2.0,48.0,8.0,7,10.0,0.0
Ciconia Project Group AB,5567004766,3.0,49.0,4.0,3,15.0,0.0
Cirkelbygg i Stockholm Aktiebolag,5562578293,2.0,48.0,2.0,1,3.0,0.0
Cirkus Larsen AB,5564546256,2.0,51.0,2.0,1,3.0,0.0
City Bygg och Måleri Stockholm AB,5568175052,2.0,53.0,3.0,2,5.0,0.0
City Byggnads i Fosie AB,5567221808,,,1.0,1,1.0,0.0
City Golf Europe AB,5564671708,6.0,46.0,10.0,9,7.0,0.0
Cityfast bygg och förvaltning sverige AB,5590472261,2.0,50.0,25.0,24,18.0,0.0
CJL Svenska Måleri Aktiebolag,5565239570,3.0,55.0,4.0,3,3.0,0.0
CKMK Mur&Puts AB,5567617716,2.0,42.0,2.0,1,1.0,0.0
CL Specialglas Aktiebolag,5564912656,3.0,57.0,3.0,2,3.0,0.0
Clabbes Bygg AB,5569532715,3.0,31.0,4.0,3,1.0,0.0
Climapac Stockholm AB,5566795653,2.0,62.0,4.0,3,2.0,0.0
Climvent AB,5567089544,2.0,35.0,3.0,2,3.0,0.0
Clingo bygg AB,5568741689,2.0,41.0,2.0,1,5.0,0.0
CLS Entreprenad AB,5567052112,2.0,52.0,3.0,2,5.0,0.0
CM Gruppen Sverige AB,5590125430,3.0,51.0,6.0,2,17.0,0.0
CN Gruppen AB,5567779631,4.0,46.0,3.0,2,4.0,0.0
CO Teknik i Helsingborg AB,5567240741,2.0,54.0,2.0,1,4.0,0.0
Combi Montage i Lammhult Aktiebolag,5562861889,4.0,55.0,5.0,4,5.0,0.0
CombiConsult Syd i Stockholm AB,5568796642,3.0,57.0,7.0,6,24.0,0.0
Combiel; El och Teleservice Aktiebolag,5563419984,4.0,60.0,2.0,1,3.0,0.0
Comdate Aktiebolag,5563648962,4.0,52.0,5.0,4,1.0,0.0
Comfortprodukter J. Lindström Aktiebolag,5563815801,2.0,65.0,3.0,2,5.0,0.0
Comfortteknik Klimat & Kylanläggningar i          Mölndal AB,5562844547,3.0,52.0,2.0,1,4.0,0.0
Compfence AB,5590288873,2.0,51.0,5.0,4,7.0,0.0
Conclean AB,5569497323,6.0,49.0,3.0,2,5.0,0.0
Concreo AB,5569308058,2.0,54.0,10.0,4,9.0,0.0
Concreto Golvteknik AB,5561965301,4.0,52.0,5.0,4,10.0,0.25
Conny Nilssons Ventilation i Syd AB,5566572219,2.0,37.0,3.0,2,1.0,0.0
Consto Öst AB,5590442397,4.0,59.0,8.0,7,1.0,0.0
Constructio Huskomponenter AB,5569097602,2.0,64.0,2.0,1,1.0,0.0
Construction Solutions Sweden AB,5569835530,2.0,39.0,2.0,1,3.0,0.0
Consultaktiebolaget Pemox,5561901041,3.0,65.0,2.0,1,22.0,0.0
Contaki Entreprenad AB,5567715015,3.0,59.0,5.0,4,7.0,0.0
Contenta Byggentreprenad AB,5569161051,2.0,44.0,13.0,12,6.0,0.0
Contractor Bygg i Hemavan AB,5568873375,2.0,56.0,7.0,6,0.0,0.0
Contub AB,5567572069,3.0,47.0,2.0,1,2.0,0.0
Corells Lås AB,5567917462,3.0,38.0,2.0,1,2.0,0.0
CornELia Ljusdesign & EL AB,5590623962,3.0,48.0,5.0,2,7.0,0.0
Coromatic Tullinge AB,5563411304,3.0,46.0,6.0,5,3.0,0.0
Cortea AB,5568292568,4.0,51.0,6.0,2,8.0,0.0
Creab Säkerhet AB,5568378078,2.0,42.0,3.0,2,17.0,0.0
Creaco AB,5568863319,2.0,50.0,2.0,1,1.0,0.0
Creatim AB,5569601700,3.0,45.0,5.0,4,1.0,0.0
Creativ Bygg & Inspiration i Umeå AB,5567195432,2.0,46.0,4.0,3,4.0,0.0
Cretec Gislaved AB,5565710471,3.0,46.0,4.0,3,4.0,0.0
CustomBygg AB,5569980922,3.0,36.0,4.0,3,1.0,0.0
CVS Ventilation Aktiebolag,5569215030,2.0,56.0,2.0,1,3.0,0.0
CW Rör Västerås AB,5560743139,2.0,50.0,6.0,5,7.0,0.0
CW Rör; Cyrus-Wallenborg AB,5560625518,2.0,50.0,6.0,5,7.0,0.0
CWT VVS & Fastighetsteknik AB,5568576473,3.0,68.0,2.0,1,2.0,0.0
CWT Worktools AB,5567743140,,,3.0,3,3.0,0.0
Cypressen Mark & Bygg AB,5569607343,2.0,39.0,3.0,2,3.0,0.0
C&M Project i Stockholm Aktiebolag,5565676110,5.0,55.0,7.0,6,2.0,0.0
D Å Elektriska AB,5567487797,2.0,39.0,16.0,15,6.0,0.0
D.Å Projektledning & Entreprenad AB,5568095565,4.0,42.0,3.0,2,8.0,0.0
Dahlberg i Idre Byggservice AB,5590014907,2.0,49.0,2.0,1,4.0,0.0
DAJK AB,5590058680,3.0,37.0,4.0,3,0.0,0.0
DaKKI AB,5562991330,2.0,43.0,4.0,3,8.0,0.0
DaKKI Entreprenad AB,5568041031,2.0,43.0,4.0,3,8.0,0.0
Dala ByggElit AB,5569500381,2.0,42.0,2.0,1,1.0,0.0
Dala Byggsamverkan Aktiebolag,5564705340,6.0,45.0,3.0,2,1.0,0.0
Dala Kylmecano Aktiebolag,5565415576,5.0,54.0,4.0,3,1.0,0.0
Dala Lås Aktiebolag,5563674406,2.0,44.0,7.0,6,9.0,0.0
Dala Rail&Snow AB,5568582026,3.0,32.0,3.0,2,9.0,0.0
Dala Vatten och Avfall AB,5567148555,7.0,64.0,14.0,8,16.0,0.0
Dalek Lås & Larm AB,5560821232,2.0,42.0,5.0,4,8.0,0.0
Dalenbergs El & Maskinteknik Aktiebolag,5562397975,6.0,49.0,2.0,1,3.0,0.0
DANFER Fastighet Bygg och Mark AB,5567885784,3.0,45.0,2.0,1,0.0,0.0
Daniel Andersson Holding AB,5562382456,2.0,66.0,3.0,2,4.0,0.0
Daniel Hag Bygg AB,5566950266,3.0,43.0,3.0,2,1.0,0.0
Data Networks VBY AB,5569873382,3.0,40.0,5.0,4,8.0,0.0
Dataklimat i Sverige AB,5569417131,4.0,56.0,3.0,2,3.0,0.0
Davids Måleri i Bollnäs AB,5590213863,2.0,40.0,5.0,3,3.0,0.0
DBM Mark & Entreprenad AB,5590087713,4.0,60.0,6.0,5,6.0,0.2
SR Sprinkler AB,5565833414,3.0,46.0,10.0,9,4.0,0.0
DD FASAD AB,5568535354,3.0,37.0,5.0,4,4.0,0.0
Decatak AB,5567628598,2.0,39.0,10.0,9,1.0,0.0
Deje Husplåt Aktiebolag,5565770707,4.0,48.0,14.0,13,27.0,0.0
DELA AB,5567621627,2.0,44.0,2.0,1,4.0,0.0
Delka Produkter AB,5566234802,2.0,47.0,3.0,2,2.0,0.0
DemfaBygg entreprenad AB,5569198392,2.0,39.0,6.0,5,3.0,0.0
Demiri Måleri AB,5569589939,2.0,46.0,2.0,1,2.0,0.0
Demolering & Entreprenad och Transport i Örebro AB,5568470461,2.0,48.0,5.0,4,1.0,0.0
Desint AB,5569279606,2.0,43.0,6.0,5,2.0,0.0
Dexnet AB,5567044978,2.0,42.0,2.0,1,7.0,0.0
De2 Elektriska AB,5590553722,2.0,39.0,6.0,5,12.0,0.0
DG Group AB,5569655227,2.0,53.0,4.0,3,3.0,0.0
Dia Falun & Västerås AB,5562335520,3.0,42.0,10.0,9,17.0,0.0
Didriksen Fina Hus AB,5567446918,3.0,52.0,7.0,6,3.0,0.0
DIG Schakt AB,5567532832,2.0,52.0,2.0,1,1.0,0.0
Din Husmontör i Avesta AB,5569653545,2.0,42.0,2.0,1,1.0,0.0
Din Takläggare i Värmland - Dalsland Aktiebolag,5562442698,3.0,52.0,3.0,2,2.0,0.0
Direct Larm Borås AB,5564025293,10.0,40.0,3.0,2,1.0,0.0
Directlarm i Kungälv AB,5567512453,2.0,39.0,4.0,2,1.0,0.0
DIRECTPARTNER STOCKHOLM AB,5565635777,6.0,46.0,4.0,3,0.0,0.0
Disarmament Solutions AB,5590737945,3.0,43.0,9.0,8,5.0,0.0
DittNyaBadrum Lomma AB,5569587529,2.0,50.0,5.0,4,7.0,0.0
DittNyaBadrum Sverige AB,5567460018,2.0,50.0,5.0,4,7.0,0.0
Djupedals Rör AB,5561277731,2.0,41.0,7.0,6,8.0,0.0
DNA Bygg AB,5567755144,3.0,50.0,4.0,3,5.0,0.0
Doorline AB,5567291744,2.0,54.0,2.0,1,4.0,0.0
Dotcom Installation i Umeå AB,5569261117,5.0,50.0,2.0,1,4.0,0.0
Dr Hercules AB,5567586754,,,22.0,22,21.0,0.0
DRIVE Demolering Riv Entreprenad AB,5569262321,5.0,42.0,5.0,4,4.0,0.0
DRSMA Sverige AB,5566824982,4.0,41.0,2.0,1,1.0,0.0
DSA mark & anläggning AB,5569650848,2.0,27.0,3.0,2,1.0,0.0
DTC (david total construction) Markbygg AB,5569186892,3.0,54.0,9.0,8,6.0,0.0
DTR-Gruppen AB,5590482989,4.0,51.0,11.0,10,7.0,0.0
DV ställningar AB,5569385403,2.0,62.0,2.0,1,0.0,0.0
Dykab i Luleå Aktiebolag,5563265957,3.0,52.0,3.0,2,2.0,0.0
Dynamiten Bygg AB,5569234791,2.0,31.0,2.0,1,2.0,0.0
Däldehög Aktiebolag,5562685700,3.0,54.0,3.0,2,17.0,0.0
Dörrakuten i Stockholm AB,5569007445,3.0,53.0,4.0,3,7.0,0.0
Dörrsnabben i Stockholm AB,5565822334,2.0,49.0,2.0,1,1.0,0.0
D&P Anläggning AB,5568802879,2.0,53.0,7.0,6,3.0,0.0
E Edvardsson Bygg AB,5566811674,4.0,46.0,4.0,3,1.0,0.0
E Edvardsson Byggresurs AB,5566076567,4.0,46.0,2.0,1,0.0,0.0
E G Bygg Aktiebolag,5563217461,2.0,60.0,6.0,5,3.0,0.0
E Karlströms AB,5560926247,4.0,38.0,2.0,1,0.0,0.0
E M J El Teknik AB,5564045010,2.0,57.0,6.0,5,21.0,0.0
E & E Ventilation Stockholm AB,5567040869,4.0,46.0,3.0,2,5.0,0.0
E & I International Aktiebolag,5566876560,3.0,64.0,3.0,2,7.0,0.0
E. Thenanders Rör Aktiebolag,5561257923,4.0,43.0,2.0,1,1.0,0.0
e.klimat Sverige AB,5569095655,3.0,45.0,6.0,2,2.0,0.0
E.S.F. Service AB,5565650750,3.0,40.0,3.0,2,10.0,0.0
EBP Entreprenad AB,5590451984,2.0,38.0,3.0,2,2.0,0.0
EBT Sverige AB,5569815136,2.0,39.0,3.0,2,1.0,0.0
ECAEL AB,5567944441,5.0,52.0,3.0,2,4.0,0.0
ECB Entreprenadcraft AB,5565336319,4.0,50.0,2.0,1,1.0,1.0
ED Byggteknik AB,5567943864,2.0,50.0,30.0,29,29.0,0.0
EDC i Nyköping AB,5568547953,2.0,39.0,16.0,15,6.0,0.0
Eddima Teknik AB,5566552476,5.0,56.0,3.0,2,2.0,0.0
Edeforsens elektriska AB,5568485410,2.0,33.0,2.0,1,0.0,0.0
Edsvikens Larm AB,5565254074,3.0,55.0,4.0,1,5.0,0.0
Edvardsson Gruppen Elektriska AB,5567961833,4.0,50.0,2.0,1,1.0,0.0
Edvardsson Riv och Sanering AB,5569929598,5.0,50.0,2.0,1,1.0,0.0
Edvardsson & Olsson Bygg AB,5565850939,2.0,53.0,4.0,3,2.0,0.0
EEA Andersson Holding AB,5569366395,,,2.0,2,6.0,0.0
Eggvena Schakt AB,5569023988,3.0,44.0,2.0,1,2.0,0.0
EGM Maskin AB,5562214758,9.0,52.0,7.0,6,10.0,0.0
EGP Industrigolv Aktiebolag,5560648049,4.0,54.0,2.0,1,1.0,0.0
EGUN Aktiebolag,5567539670,2.0,58.0,10.0,9,2.0,0.0
EITAB Produktion AB,5590364443,2.0,58.0,6.0,4,1.0,0.0
Ekeby Värme & Vatten AB,5590726153,2.0,42.0,3.0,2,1.0,0.0
Ekenborns Måleri AB,5590731773,,,2.0,2,7.0,0.0
Ekengrens Quality AB,5561449058,2.0,55.0,3.0,2,8.0,0.0
Ekerö Rederi AB,5566165279,2.0,47.0,3.0,2,3.0,0.0
Ekholms Bygg i Mälardalen AB,5567861314,3.0,51.0,3.0,2,10.0,0.0
Eklunds Vent o Plåt AB,5560938374,2.0,44.0,2.0,1,2.0,0.0
